GCC Jaguar V 61 LX	GCC_V2_Base	GCC	Jaguar V 61 LX	610	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar V 101 LX	GCC_V2_Base	GCC	Jaguar V 101 LX	1010	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar V 132 LX	GCC_V2_Base	GCC	Jaguar V 132 LX	1320	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar V 183 LX	GCC_V2_Base	GCC	Jaguar V 183 LX	1830	59	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Puma IV 60 LX	GCC_V2_Base	GCC	Puma IV 60 LX	600	59	1,100,40,5,0,g	3,24,10,3,0,cm/s
GCC Puma IV 132 LX	GCC_V2_Base	GCC	Puma IV 132 LX	1320	59	1,100,40,5,0,g	3,24,10,3,0,cm/s
GCC Jaguar II 61	GCC_V0_Base	GCC	Jaguar II 61	610	27	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar II 101	GCC_V0_Base	GCC	Jaguar II 101	1010	27	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar II 132	GCC_V0_Base	GCC	Jaguar II 132	1320	27	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar V 61	GCC_V0_Base	GCC	Jaguar V 61	610	27	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar V 101	GCC_V0_Base	GCC	Jaguar V 101	1010	27	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Jaguar V 132	GCC_V0_Base	GCC	Jaguar V 132	1320	27	1,120,40,5,0,g	3,51,24,3,0,cm/s
GCC Expert 24	GCC_V0_Base	GCC	Expert 24	600	27	1,50,40,5,0,g	3,13,10,3,0,cm/s
GCC Expert 52	GCC_V0_Base	GCC	Expert 52	1320	27	1,50,40,5,0,g	3,13,10,3,0,cm/s
GCC AR-24	GCC_V0_Base	GCC	AR-24	600	27	1,50,40,5,0,g	3,13,10,3,0,cm/s
GCC Expert II 52	GCC_V0_Base	GCC	Expert II 52	1320	27	1,70,40,5,0,g	3,15,10,3,0,cm/s
GCC Expert II 24	GCC_V0_Base	GCC	Expert II 24	600	27	1,70,40,5,0,g	3,17,10,3,0,cm/s
GCC Expert Pro 60	GCC_V0_Base	GCC	Expert Pro 60	600	27	1,80,40,5,0,g	3,20,10,3,0,cm/s
GCC Expert Pro 132	GCC_V0_Base	GCC	Expert Pro 132	1320	27	1,80,40,5,0,g	3,20,10,3,0,cm/s
GCC Expert Pro II 60	GCC_V0_Base	GCC	Expert Pro II 60	600	27	1,100,40,5,0,g	3,24,10,3,0,cm/s
GCC Expert Pro II 132	GCC_V0_Base	GCC	Expert Pro II 132	1320	27	1,100,40,5,0,g	3,24,10,3,0,cm/s
Helitin 500	helitin_arms_base2	Helitin	500	310	80
Helitin 720	helitin_arms_base2	Helitin	720	600	80
Helitin 1350	helitin_arms_base2	Helitin	1350	1200	80
Helitin 1750	helitin_arms_base2	Helitin	1750	1600	80

Helitin A500	helitin_arms_base2	Helitin	A500	310	48
Helitin A720	helitin_arms_base2	Helitin	A720	600	48
Helitin A1350	helitin_arms_base2	Helitin	A1350	1200	48
Helitin A1750	helitin_arms_base2	Helitin	A1750	1600	48

Helitin A500D	jkmm_base	Helitin	A500D	310	96
Helitin A720D	jkmm_base	Helitin	A720D	600	96
Helitin A1350D	jkmm_base	Helitin	A1350D	1200	96
Helitin A1750D	jkmm_base	Helitin	A1750D	1600	96
iTransfer IC-A	Liyu_A04a_Base	iTransfer	IC-A	1260	112
iTransfer IC-A Multipoint Mark	Liyu_MM_base	iTransfer	IC-A Multipoint Mark	1260	112
JinKa GC-24	jinka_gc_base2	JinKa	GC-24	650	208
JinKa GC-48	jinka_gc_base2	JinKa	GC-48	1220	208
					
JinKa JK-240	jinka_jk_base2	JinKa	JK-240	210	208
JinKa JK-330	jinka_jk_base2	JinKa	JK-330	297	208
JinKa JK-365	jinka_jk_base2	JinKa	JK-365	275	208
JinKa JK-721	jinka_jk_base2	JinKa	JK-721	630	208
JinKa JK-871	jinka_jk_base2	JinKa	JK-871	780	208
JinKa JK-1101	jinka_jk_base2	JinKa	JK-1101	1010	208
JinKa JK-1351	jinka_jk_base2	JinKa	JK-1351	1260	208
					
JinKa JK-24ABJ	jinka_gc_base2mm	JinKa	JK-24 721ABJ	630	96
JinKa JK-48ABJ	jinka_gc_base2mm	JinKa	JK-48 1351ABJ	1240	96
JinKa JK-24ASF	jinka_gc_base2mm	JinKa	JK-24ASF	630	96
JinKa JK-48ASF	jinka_gc_base2mm	JinKa	JK-48ASF	1200	96
JinKa YS-15ABJ	jinka_gc_base2mm	JinKa	JK-15ABJ	326	96
jinKa-ARMS V3	jinka_gc_base2mm	JinKa	JK-ARMS V3	1260	96
KASA K365	jinka_base2	KASA	K365	275	208
KASA K725	jinka_base2	KASA	K725	630	208
KASA K1355	jinka_base2	KASA	K1355	1260	208
KEN810	saga_base	Kenstar	810	710	80
KEN1000	saga_base	Kenstar	1000	880	80
KEN1120	saga_base	Kenstar	1120	1020	80
KEN1380	saga_base	Kenstar	1380	1260	80
KEN1730	saga_base	Kenstar	1730	1600	80
Kingcut CT630H	kingcut_Manual_base	Kingcut	CT630H	630	16
Kingcut CT900H	kingcut_Manual_base	Kingcut	CT900H	900	16
Kingcut CT1200H	kingcut_Manual_base	Kingcut	CT1200H	1200	86
Kingcut CT630H- ARMS	kincut_ARMS_base	Kingcut	CT630H- ARMS	630	120
Kingcut CT900H- ARMS	kincut_ARMS_base	Kingcut	CT900H- ARMS	900	120
Kingcut CT1200H-ARMS	kincut_ARMS_base	Kingcut	CT1200H-ARMS	1200	120
King Rabbit HX-1120G	rabbit_base1	King Rabbit	HX-1120G	1120	214
King Rabbit HX-1360G	rabbit_base1	King Rabbit	HX-1360G	1360	214
King Rabbit HX-1360K	rabbit_base1	King Rabbit	HX-1360K	1360	214
King Rabbit HX1360N	rabbit_base1	King Rabbit	HX1360N	1360	214
King Rabbit HX-1780K	rabbit_base1	King Rabbit	HX-1780K	1780	214
King Rabbit HX-720G	rabbit_base1	King Rabbit	HX-720G	720	214
King Rabbit HX-720N	rabbit_base1	King Rabbit	HX-720N	720	214
King Rabbit HX-800G	rabbit_base1	King Rabbit	HX-800G	800	214
King Rabbit HX-800K	rabbit_base1	King Rabbit	HX-800K	800	214
King Rabbit HX-800N	rabbit_base1	King Rabbit	HX-800N	800	214
